sut,apfd,apfd50,builds
s1,0.9111,0.87,123
s2,0.8508,0.84,81
s3,0.9013,0.91,101
s4,0.9716,0.97,229
s5,0.8122,0.81,55
s6,0.9749,0.98,149
s7,0.9167,0.93,695
s8,0.6949,0.69,56
s9,0.8805,0.83,173
s10,0.6447,0.65,68
s11,0.7816,0.80,114
s12,0.9143,0.95,148
s13,0.6664,0.70,75
s14,0.9103,0.91,50
s15,0.7632,0.77,141
s16,0.8725,0.74,128
s17,0.9608,0.98,122
s18,0.9232,0.96,53
s19,0.6999,0.74,92
s20,0.7844,0.76,70
s21,0.8639,0.54,295
s22,0.8791,0.88,86
s23,0.7389,0.77,58
s24,0.7490,0.74,70
s25,0.8707,0.92,273